date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:50	16515/16515	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html	(from )
11:27:51	111/111	---M-Z	200	added ('OK')	text/plain	date:Thu,%2021%20Mar%202024%2011:27:51%20GMT	https://creativemela.com/robots.txt		(from )
11:27:52	976/976	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Feb%202024%2005:10:24%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/logo/favicon.png	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/logo/favicon.png	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:52	71760/71760	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202023%2022:52:36%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/animate.min.css	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/animate.min.css	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:52	25004/25004	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202023%2001:29:34%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/swiper__bundle.css	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/swiper__bundle.css	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:53	7164/7164	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202023%2005:23:52%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/normalize.css	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/normalize.css	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:53	85693/85693	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2002:42:08%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/style.css	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/css/style.css	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:53	624/624	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2013:14:34%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/logo/dark-logo.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/logo/dark-logo.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:54	21980/21980	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/contact.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/contact.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:54	529/529	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202024%2004:38:18%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/bars.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/bars.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:55	1333/1333	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2026%20Jan%202024%2020:34:34%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/dribble.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/dribble.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:55	104021/104021	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2003:15:54%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/author/author.jpg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/author/author.jpg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:55	283/283	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Feb%202024%2021:37:36%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/facebook.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/facebook.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:55	333/333	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Feb%202024%2021:37:52%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/twitter-x.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/twitter-x.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
